id,date,price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,floors,has_waterfront,view_quality,condition_rating,grade_rating,above_ground_sqft,basement_sqft,year_built,year_renovated,zipcode,sqft_living15,sqft_lot15
1,2015-03-12,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,1360,4850
2,2014-11-21,740500,3,2,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,1830,6350
3,2014-08-18,625000,2,2,1490,5750,1.5,0,0,4,7,1190,300,1900,0,98116,1590,4025
4,2014-12-04,595000,2,2,1510,4000,1,0,0,4,7,1010,500,1900,0,98103,1920,4000
5,2014-12-19,485000,4,2,1400,3600,1,0,0,3,7,1100,300,1900,0,98119,1630,2048
6,2015-03-11,565000,4,3,2020,4300,1.5,0,0,3,6,2020,0,1900,0,98107,1290,3440
7,2014-11-07,352950,3,1,1760,3000,1.5,0,0,1,6,1760,0,1900,0,98103,1320,1266
8,2014-06-05,440000,3,1,1050,7500,1,0,0,3,6,1050,0,1900,0,98136,1380,7500
9,2014-05-08,712000,3,1,1250,4620,1.5,0,0,4,7,1150,100,1900,0,98103,1900,4400
10,2014-05-16,490000,3,2,1450,2400,1.5,0,0,3,8,1450,0,1900,2003,98107,1450,4275
11,2015-03-04,1015000,4,3,2960,4760,2,0,0,3,8,2160,800,1900,0,98102,1600,4760
12,2014-05-30,425000,3,2,1680,3000,1,0,2,4,6,840,840,1900,0,98103,1540,3700
13,2014-09-26,499000,3,3,1750,2150,2.5,0,0,3,7,1230,520,1900,2014,98122,1410,3300
14,2014-06-19,464000,3,1,1320,3625,2,0,0,3,7,1320,0,1900,0,98122,1660,5438
15,2014-12-01,430000,2,2,1090,4013,1.5,0,0,3,7,1090,0,1900,0,98103,1390,4013
16,2015-05-12,685000,2,2,1090,4013,1.5,0,0,3,7,1090,0,1900,0,98103,1390,4013
17,2014-10-28,759000,3,3,1960,6390,1.5,0,2,5,8,1960,0,1900,0,98122,2440,5870
18,2015-02-13,265000,3,1,1122,6554,1.5,0,0,3,5,1122,0,1900,0,98118,1610,5650
19,2015-05-01,210000,2,1,1100,6000,1.5,0,0,4,6,1100,0,1900,0,98108,1280,6000
20,2015-02-23,635000,3,2,1340,3900,2,0,0,5,7,1340,0,1900,0,98107,1470,1611
21,2014-05-29,550000,5,2,2450,9488,1,0,0,4,7,1240,1210,1900,1955,98133,1310,5693
22,2014-07-24,551000,3,1,940,1948,1,0,0,5,6,940,0,1900,0,98107,1700,5000
23,2015-04-28,819000,3,1,1300,3600,2,0,0,3,7,1300,0,1900,0,98119,2510,4800
24,2014-06-10,558000,4,2,2180,3870,1,0,0,3,7,1020,1160,1900,0,98122,1520,2580
25,2014-11-04,611000,2,1,1270,5100,1,0,0,3,7,1100,170,1900,0,98115,1670,3900
26,2014-07-01,1297000,6,3,2630,9420,2,0,0,5,9,2510,120,1900,0,98103,1540,4969
27,2014-12-23,199999,3,1,960,10815,1,0,0,5,5,960,0,1900,0,98010,1330,10815
28,2014-09-19,285000,2,1,920,5850,1,0,0,4,6,920,0,1900,0,98108,1640,5476
29,2014-05-07,526000,2,2,1550,2400,1.5,0,0,4,7,1550,0,1900,0,98103,1180,1224
30,2015-05-08,337500,3,1,1020,6000,1.5,0,0,3,7,1020,0,1900,0,98108,1240,6000
31,2014-08-08,870000,5,4,3400,5000,2,0,0,3,8,2320,1080,1900,2013,98107,1910,5000
32,2014-09-16,169900,3,1,910,5800,1.5,0,0,4,5,910,0,1900,0,98022,1400,6766
33,2015-03-17,382888,1,1,620,2380,1,0,0,3,6,620,0,1900,0,98115,980,3570
34,2014-06-24,1010000,2,2,1460,9052,1,0,2,5,6,1460,0,1900,0,98033,2554,7834
35,2015-02-25,200000,4,2,1780,8000,2,0,0,4,6,1080,700,1900,1996,98010,1750,9147
36,2014-05-20,452000,4,1,1210,3760,1.5,0,0,3,6,1210,0,1900,0,98103,1540,3800
37,2015-04-22,431000,2,2,1300,4000,1.5,0,0,4,6,1300,0,1900,0,98144,1480,4000
38,2014-10-09,850000,3,3,1910,4800,1.5,0,0,3,9,1910,0,1900,1991,98103,1280,1310
39,2014-08-13,829000,4,3,3310,4500,2.5,0,0,5,9,2910,400,1900,0,98103,1440,3750
40,2014-10-20,850000,3,2,1540,3600,2,0,0,3,8,1540,0,1900,1988,98112,2970,3600
41,2014-09-09,783200,4,2,1590,5400,1,0,2,3,7,990,600,1900,0,98119,2190,4800
42,2015-04-15,730000,3,2,1650,5000,1.5,0,0,4,8,1650,0,1900,0,98107,1630,5000
43,2014-06-16,660000,6,2,1840,2774,1,0,0,3,7,1060,780,1900,0,98122,1680,4292
44,2015-03-17,450000,3,2,1540,67756,1,0,0,3,7,1540,0,1900,1973,98077,2060,67756
45,2014-09-17,549000,3,2,2330,3600,1.5,0,0,4,7,1580,750,1900,0,98122,1750,3600
46,2014-06-18,192500,3,1,1080,8580,1.5,0,0,3,6,1080,0,1900,0,98168,1800,12672
47,2015-05-04,625000,4,2,2120,5000,2,0,0,4,8,2120,0,1900,0,98122,1830,5000
48,2014-05-28,1400000,4,3,2980,7000,2,0,3,3,10,2140,840,1900,2014,98144,2200,4800
49,2014-09-29,1260000,4,2,2970,5400,2.5,0,0,4,9,2970,0,1900,0,98112,2500,5040
50,2015-04-06,975000,3,3,1850,5000,1.5,0,0,2,6,1850,0,1900,0,98107,1360,2500
51,2014-07-22,452000,3,2,2270,148975,1,0,0,4,6,1270,1000,1900,1980,98056,2210,17388
52,2015-02-18,685000,4,2,2290,6000,1.5,0,3,5,7,2290,0,1900,0,98115,2000,3150
53,2015-02-03,450000,4,2,1960,5008,1,0,0,3,6,980,980,1900,1988,98144,1175,2315
54,2015-03-30,510000,2,1,1070,5280,1,0,0,3,6,1070,0,1900,0,98122,1380,2370
55,2014-09-09,214000,3,1,1020,9147,1,0,0,4,6,1020,0,1900,1965,98010,1600,9700
56,2014-07-15,498000,3,3,1620,2640,2,0,0,4,7,1620,0,1900,1993,98122,1370,3840
57,2014-09-18,614950,3,1,1500,2400,1.5,0,0,5,7,1500,0,1900,0,98119,1780,3600
58,2014-07-01,485000,4,2,1430,4096,2,0,0,3,7,1430,0,1900,0,98122,1640,3377
59,2014-08-26,550000,5,1,2150,262231,1.5,0,0,3,7,2150,0,1900,2000,98065,1460,46609
60,2015-03-11,130000,2,1,600,1500,1,0,0,4,4,600,0,1900,0,98027,1130,6000
61,2014-07-28,255500,4,1,1370,41194,1.5,0,2,5,5,1370,0,1900,0,98092,1590,84070
62,2014-07-01,600000,2,1,910,2002,1.5,0,0,3,6,910,0,1900,0,98112,1190,1208
63,2015-04-06,415000,3,2,1410,4303,1.5,0,0,4,7,1410,0,1900,0,98108,1660,4326
64,2015-04-07,887200,3,1,1400,5100,1.5,0,0,3,7,1400,0,1900,0,98103,1740,3060
65,2014-10-23,560000,4,1,1360,5814,1.5,0,0,2,6,1360,0,1900,0,98122,1010,5814
66,2014-12-02,432500,6,2,3080,5500,2,0,0,1,7,3080,0,1900,0,98122,1830,5000
67,2014-12-15,325000,3,2,2330,4950,1.5,0,0,3,6,1430,900,1900,0,98118,1160,5115
68,2015-04-20,905000,4,2,2240,5000,2,0,0,3,8,1770,470,1900,2014,98122,2120,5000
69,2014-05-04,628000,4,2,2280,6010,1,0,0,3,7,1140,1140,1900,0,98122,2240,6200
70,2014-06-25,1330000,3,2,1940,2885,1.5,0,2,3,8,1940,0,1900,0,98119,2550,3600
71,2014-10-22,700000,4,2,2420,520,1.5,0,0,3,7,2420,0,1900,0,98112,1200,1170
72,2014-08-25,500000,2,1,960,5000,1,0,0,4,7,960,0,1900,0,98107,1330,5000
73,2014-10-30,465000,3,1,1580,3774,1.5,0,0,3,6,1580,0,1900,0,98117,1580,3860
74,2014-06-09,550000,3,2,1380,3402,1.5,0,0,3,7,1380,0,1900,2000,98122,1500,5496
75,2014-12-22,500000,4,2,1680,3813,2,0,0,4,7,1680,0,1900,0,98144,2540,3996
76,2015-03-24,835000,6,2,3560,5120,2.5,0,2,3,9,3560,0,1900,0,98122,2130,5120
77,2014-05-30,240000,3,2,1330,6000,1,0,0,4,7,630,700,1900,0,98108,1140,6000
78,2014-07-25,275000,4,1,1080,26114,1.5,0,0,5,5,1080,0,1900,0,98030,1720,20360
79,2014-06-13,1695000,2,2,3170,3000,2,0,2,5,10,1990,1180,1900,0,98109,2980,5061
80,2014-08-13,415000,1,1,760,3000,1,0,0,3,7,760,0,1900,0,98122,1270,3000
81,2014-08-04,210000,3,1,1020,6000,1,0,0,3,5,1020,0,1900,0,98027,2070,7200
82,2014-08-18,554600,3,2,1470,5000,1.5,0,0,5,7,1470,0,1900,0,98107,1530,5000
83,2014-06-13,718500,3,2,2910,6600,2,0,0,4,7,1920,990,1900,1988,98118,1370,5500
84,2014-07-29,179000,4,2,1790,7175,1.5,0,0,3,6,1410,380,1900,0,98168,1790,8417
85,2014-10-14,850000,4,3,2550,3784,1.5,0,0,4,8,1750,800,1900,0,98103,2100,4560
86,2015-04-24,240000,3,2,1553,6550,1,0,0,3,7,1553,0,1900,2001,98022,1010,10546
87,2015-02-23,400000,3,1,1100,5100,2,0,0,4,7,1100,0,1900,0,98117,1540,5100
88,2014-05-30,385000,3,1,1220,4800,1,0,0,3,6,1220,0,1901,0,98122,1200,4800
89,2015-04-18,615000,4,1,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,1330,4400
90,2014-08-28,550000,3,2,1650,3200,1.5,0,0,3,8,1650,0,1901,0,98102,1500,2400
91,2014-05-19,487250,4,2,1690,3250,1.5,0,0,3,7,1550,140,1901,0,98103,1620,3250
92,2014-10-01,412000,2,1,1040,5120,1,0,0,3,7,1040,0,1901,0,98122,1250,4000
93,2014-07-08,780000,2,3,2560,2500,2,0,0,5,8,1690,870,1901,0,98112,1890,5000
94,2014-07-09,700000,3,1,1410,7200,2,0,0,4,6,1410,0,1901,0,98144,1640,7200
95,2014-07-22,302282,2,1,1095,5120,1.5,0,0,3,7,1095,0,1901,0,98122,1310,5120
96,2014-07-21,365000,2,1,680,2550,1,0,0,4,5,680,0,1901,0,98117,1120,5100
97,2014-06-19,285000,3,1,1210,4731,1.5,0,0,3,7,1210,0,1901,0,98117,1450,5264
